go_id,pathway_name,pathway_name
GO:0055114,oxidation-reduction process,oxidation
GO:0009060,aerobic respiration,lung
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",mitochondrion
GO:0032981,mitochondrial respiratory chain complex I assembly,mitochondrion
GO:0014070,response to organic cyclic compound,environment-sensing
GO:0033194,response to hydroperoxide,environment-sensing
GO:0042493,response to drug,cellular-response
GO:0072593,reactive oxygen species metabolic process,metabolic-biosynthesis
GO:1902600,proton transmembrane transport,transport
GO:0022900,electron transport chain,transport
GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",mitochondrion
GO:0015990,electron transport coupled proton transport,transport
GO:0006119,oxidative phosphorylation,metabolic-biosynthesis
GO:0006979,response to oxidative stress,stress-response
GO:0007568,aging,aging
GO:0021549,cerebellum development,brain
GO:0022904,respiratory electron transport chain,transport
GO:0046688,response to copper ion,cellular-response
GO:0051602,response to electrical stimulus,cellular-response
GO:0007595,lactation,glands
GO:0009409,response to cold,environment-sensing
GO:0010729,positive regulation of hydrogen peroxide biosynthetic process,metabolic-biosynthesis
GO:0010940,positive regulation of necrotic cell death,cell-death
GO:0042773,ATP synthesis coupled electron transport,transport
GO:2001171,positive regulation of ATP biosynthetic process,metabolic-biosynthesis
GO:0015986,ATP synthesis coupled proton transport,transport
GO:0006811,ion transport,transport
GO:0006754,ATP biosynthetic process,metabolic-biosynthesis
GO:0042407,cristae formation,mitochondrion
GO:0042776,mitochondrial ATP synthesis coupled proton transport,mitochondrion
GO:0055093,response to hyperoxia,environment-sensing
GO:0019646,aerobic electron transport chain,transport
GO:0055085,transmembrane transport,transport
GO:0008535,respiratory chain complex IV assembly,lung
GO:0009642,response to light intensity,eye
GO:0009725,response to hormone,cellular-response
GO:0071385,cellular response to glucocorticoid stimulus,cellular-response
GO:0001666,response to hypoxia,environment-sensing
GO:0001701,in utero embryonic development,blastocyst
GO:0035094,response to nicotine,cellular-response
GO:0045471,response to ethanol,cellular-response
GO:0010243,response to organonitrogen compound,cellular-response
GO:0042542,response to hydrogen peroxide,environment-sensing
GO:0042220,response to cocaine,cellular-response
GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",mitochondrion
GO:0007584,response to nutrient,cellular-response
GO:0009408,response to heat,environment-sensing
GO:0009636,response to toxic substance,cellular-response
GO:0031100,animal organ regeneration,regeneration-healing
GO:0033590,response to cobalamin,cellular-response
GO:0033762,response to glucagon,cellular-response
GO:0042538,hyperosmotic salinity response,environment-sensing
GO:0046686,response to cadmium ion,cellular-response
GO:0046689,response to mercury ion,cellular-response
GO:0051592,response to calcium ion,cellular-response
GO:0018101,protein citrullination,protein-processing
GO:0006325,chromatin organization,histone-chromatin
GO:0036414,histone citrullination,histone-chromatin
GO:0051301,cell division,cell-division
GO:0007049,cell cycle,cell-cycle
GO:0007229,integrin-mediated signaling pathway,ecm
GO:0030334,regulation of cell migration,migration
GO:0048041,focal adhesion assembly,ecm
GO:0010971,positive regulation of G2/M transition of mitotic cell cycle,cell-division
GO:0051895,negative regulation of focal adhesion assembly,ecm
GO:1900025,negative regulation of substrate adhesion-dependent cell spreading,migration
GO:0034260,negative regulation of GTPase activity,brain
