ID	protein.ID	feature.ID	start	end	note
# MBP1_SACCE
NA	ref_pro_4	ref_ftr_1	4	102	APSES fold
NA	ref_pro_4	ref_ftr_2	22	105	KilA-N
NA	ref_pro_4	ref_ftr_4	108	122	low complexity
NA	ref_pro_4	ref_ftr_4	236	241	low complexity
NA	ref_pro_4	ref_ftr_4	279	307	low complexity
NA	ref_pro_4	ref_ftr_4	700	717	low complexity
NA	ref_pro_4	ref_ftr_4	700	717	low complexity
NA	ref_pro_4	ref_ftr_5	394	423	Ankyrin
NA	ref_pro_4	ref_ftr_5	427	463	Ankyrin
NA	ref_pro_4	ref_ftr_5	512	541	Ankyrin
NA	ref_pro_4	ref_ftr_6	381	547	Swi6 fold
NA	ref_pro_4	ref_ftr_7	633	655	coiled coil
# MBP1_ASPNI
NA	ref_pro_1	ref_ftr_1	9	106	APSES fold
NA	ref_pro_1	ref_ftr_2	26	109	KilA-N
NA	ref_pro_1	ref_ftr_4	529	534	low complexity
NA	ref_pro_1	ref_ftr_5	260	289	Ankyrin
NA	ref_pro_1	ref_ftr_5	381	413	Ankyrin
NA	ref_pro_1	ref_ftr_6	193	402	Swi6 fold
NA	ref_pro_1	ref_ftr_7	509	572	coiled coil
# MBP1_BIPOR
NA	ref_pro_2	ref_ftr_1	8	106	APSES fold
NA	ref_pro_2	ref_ftr_2	26	109	KilA-N
NA	ref_pro_2	ref_ftr_4	134	152	low complexity
NA	ref_pro_2	ref_ftr_4	267	278	low complexity
NA	ref_pro_2	ref_ftr_4	670	685	low complexity
NA	ref_pro_2	ref_ftr_5	266	295	Ankyrin
NA	ref_pro_2	ref_ftr_5	387	416	Ankyrin
NA	ref_pro_2	ref_ftr_6	253	421	Swi6 fold
NA	ref_pro_2	ref_ftr_7	659	681	coiled coil
NA	ref_pro_2	ref_ftr_7	500	590	coiled coil
# MBP1_NEUCR
NA	ref_pro_3	ref_ftr_1	14	114	APSES fold
NA	ref_pro_3	ref_ftr_2	34	117	KilA-N
NA	ref_pro_3	ref_ftr_4	130	141	low complexity
NA	ref_pro_3	ref_ftr_4	253	266	low complexity
NA	ref_pro_3	ref_ftr_4	514	525	low complexity
NA	ref_pro_3	ref_ftr_4	554	564	low complexity
NA	ref_pro_3	ref_ftr_4	601	618	low complexity
NA	ref_pro_3	ref_ftr_4	620	629	low complexity
NA	ref_pro_3	ref_ftr_4	636	652	low complexity
NA	ref_pro_3	ref_ftr_4	658	672	low complexity
NA	ref_pro_3	ref_ftr_4	725	735	low complexity
NA	ref_pro_3	ref_ftr_4	752	771	low complexity
NA	ref_pro_3	ref_ftr_5	268	297	Ankyrin
