Gene stable ID,Transcript stable ID,Transcript start (bp),Transcript end (bp),Gene name,Transcript count,Gene type,Gene description,Strand
YBR024W,YBR024W_mRNA,289445,290350,SCO2,1,protein_coding,"Protein anchored to mitochondrial inner membrane; may have a redundant function with Sco1p in delivery of copper to cytochrome c oxidase; interacts with Cox2p; SCO2 has a paralog, SCO1, that arose from the whole genome duplication [Source:SGD;Acc:S000000228]",1
YDL245C,YDL245C_mRNA,11657,13360,HXT15,1,protein_coding,"Putative transmembrane polyol transporter; supports growth on and uptake of mannitol, sorbitol and xylitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; similarity to hexose transporters; expression is induced by low levels of glucose and repressed by high levels of glucose [Source:SGD;Acc:S000002404]",-1
YBR021W,YBR021W_mRNA,281443,283344,FUR4,1,protein_coding,Plasma membrane localized uracil permease; expression is tightly regulated by uracil levels and environmental cues; conformational alterations induced by unfolding or substrate binding result in Rsp5p-mediated ubiquitination and degradation [Source:SGD;Acc:S000000225],1
YGR014W,YGR014W_mRNA,516943,520863,MSB2,1,protein_coding,Mucin family member involved in various signaling pathways; functions as osmosensor in the Sho1p-mediated HOG pathway; functions in Cdc42p- and MAP kinase-dependent filamentous growth signaling pathway; processed into secreted and cell-associated forms by aspartyl protease Yps1p; potential Cdc28p substrate [Source:SGD;Acc:S000003246],1
YKL119C,YKL119C_mRNA,218570,219217,VPH2,1,protein_coding,Integral membrane protein required for V-ATPase function; not an actual component of the vacuolar H+-ATPase (V-ATPase) complex; functions in the assembly of the V-ATPase; localized to the endoplasmic reticulum (ER); involved in methionine restriction extension of chronological lifespan in an autophagy-dependent manner [Source:SGD;Acc:S000001602],-1
YPR031W,YPR031W_mRNA,631515,633761,NTO1,1,protein_coding,Subunit of the NuA3 histone acetyltransferase complex; this complex acetylates histone H3; contains PHD finger domain that interacts with methylated histone H3 [Source:SGD;Acc:S000006235],1
YJL076W,YJL076W_mRNA,295245,298814,NET1,1,protein_coding,"Core subunit of the RENT complex; involved in nucleolar silencing and telophase exit; stimulates transcription by RNA polymerase I and regulates nucleolar structure; NET1 has a paralog, TOF2, that arose from the whole genome duplication [Source:SGD;Acc:S000003612]",1
YPL174C,YPL174C_mRNA,220167,222773,NIP100,1,protein_coding,Large subunit of the dynactin complex; dynactin is involved in partitioning the mitotic spindle between mother and daughter cells; putative ortholog of mammalian p150(glued) [Source:SGD;Acc:S000006095],-1
YIL003W,YIL003W_mRNA,349122,350003,CFD1,1,protein_coding,Highly conserved iron-sulfur cluster binding protein; localized in the cytoplasm; forms a complex with Nbp35p that is involved in iron-sulfur protein assembly in the cytosol [Source:SGD;Acc:S000001265],1
YML066C,YML066C_mRNA,140424,141533,SMA2,1,protein_coding,Meiosis-specific prospore membrane protein; required to produce bending force necessary for proper assembly of the prospore membrane during sporulation [Source:SGD;Acc:S000004531],-1
YMR129W,YMR129W_mRNA,527804,531817,POM152,1,protein_coding,"Glycoprotein subunit of transmembrane ring of nuclear pore complex; contributes to nucleocytoplasmic transport, nuclear pore complex (NPC) biogenesis and spindle pole body duplication; homologous to human NUP210 [Source:SGD;Acc:S000004736]",1
YBR140C,YBR140C_mRNA,517350,526628,IRA1,1,protein_coding,"GTPase-activating protein; negatively regulates RAS by converting it from GTP- to the GDP-bound inactive form, required for reducing cAMP levels under nutrient limiting conditions, mediates membrane association of adenylate cyclase; mutations cause catalase T deficiency, defective glycogen synthesis and defective trehalose accumulation; IRA1 has a paralog, IRA2, that arose from the whole genome duplication; defects in human homolog NF1 are associated with neurofibromatosis [Source:SGD;Acc:S000000344]",-1
YKL029C,YKL029C_mRNA,382716,384725,MAE1,1,protein_coding,"Mitochondrial malic enzyme; catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism and a precursor for synthesis of several amino acids [Source:SGD;Acc:S000001512]",-1
YPL028W,YPL028W_mRNA,498096,499292,ERG10,1,protein_coding,"Acetyl-CoA C-acetyltransferase (acetoacetyl-CoA thiolase); cytosolic enzyme that transfers an acetyl group from one acetyl-CoA molecule to another, forming acetoacetyl-CoA; involved in the first step in mevalonate biosynthesis; human ACAT1 functionally complements the growth defect caused by repression of ERG10 expression [Source:SGD;Acc:S000005949]",1
YDL235C,YDL235C_mRNA,33415,33918,YPD1,1,protein_coding,Osmotic stress-responsive phosphorelay intermediate sensor protein; phosphorylated by the plasma membrane sensor Sln1p in response to osmotic stress and then in turn phosphorylates the response regulators Ssk1p in the cytosol and Skn7p in the nucleus [Source:SGD;Acc:S000002394],-1
YER091C,YER091C_mRNA,339864,342167,MET6,1,protein_coding,"Cobalamin-independent methionine synthase; involved in methionine biosynthesis and regeneration; requires a minimum of two glutamates on the methyltetrahydrofolate substrate, similar to bacterial metE homologs [Source:SGD;Acc:S000000893]",-1
YMR121C,YMR121C_mRNA,509734,510348,RPL15B,1,protein_coding,"Ribosomal 60S subunit protein L15B; binds to 5.8 S rRNA; homologous to mammalian ribosomal protein L15, no bacterial homolog; RPL15B has a paralog, RPL15A, that arose from the whole genome duplication; relocalizes from nucleus to nucleolus upon DNA replication stress [Source:SGD;Acc:S000004728]",-1
YDR356W,YDR356W_mRNA,1186107,1188941,SPC110,1,protein_coding,"Inner plaque spindle pole body (SPB) component; ortholog of human kendrin; gamma-tubulin small complex (gamma-TuSC) receptor that interacts with Spc98p to recruit the complex to the nuclear side of the SPB, connecting nuclear microtubules to the SPB; promotes gamma-TuSC assembly and oligomerization to initiate microtubule nucleation; interacts with Tub4p-complex and calmodulin; phosphorylated by Mps1p in cell cycle-dependent manner [Source:SGD;Acc:S000002764]",1
YDR337W,YDR337W_mRNA,1146319,1147179,MRPS28,1,protein_coding,Mitochondrial ribosomal protein of the small subunit [Source:SGD;Acc:S000002745],1
YKL008C,YKL008C_mRNA,427295,428551,LAC1,1,protein_coding,"Ceramide synthase component; involved in synthesis of ceramide from C26(acyl)-coenzyme A and dihydrosphingosine or phytosphingosine, functionally equivalent to Lag1p; LAC1 has a paralog, LAG1, that arose from the whole genome duplication [Source:SGD;Acc:S000001491]",-1
YER055C,YER055C_mRNA,264892,265785,HIS1,1,protein_coding,"ATP phosphoribosyltransferase; a hexameric enzyme, catalyzes the first step in histidine biosynthesis; mutations cause histidine auxotrophy and sensitivity to Cu, Co, and Ni salts; transcription is regulated by general amino acid control [Source:SGD;Acc:S000000857]",-1
YFR004W,YFR004W_mRNA,153393,154313,RPN11,1,protein_coding,"Metalloprotease subunit of 19S regulatory particle; part of 26S proteasome lid; couples the deubiquitination and degradation of proteasome substrates; involved, independent of catalytic activity, in fission of mitochondria and peroxisomes; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000001900]",1
YDR108W,YDR108W_mRNA,671269,673365,TRS85,1,protein_coding,"Component of transport protein particle (TRAPP) complex III; TRAPPIII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p, regulating endosome-Golgi traffic and required for membrane expansion during autophagy and the CVT pathway; directs Ypt1p to the PAS; late post-replication meiotic role [Source:SGD;Acc:S000002515]",1
YDL200C,YDL200C_mRNA,100501,101067,MGT1,1,protein_coding,DNA repair methyltransferase (6-O-methylguanine-DNA methylase); involved in protection against DNA alkylation damage [Source:SGD;Acc:S000002359],-1
YJR134C,YJR134C_mRNA,673729,675852,SGM1,1,protein_coding,Protein of unknown function; required for wild-type growth rate on galactose and mannose; localizes to COPI coated vesicles and the Golgi apparatus [Source:SGD;Acc:S000003895],-1
Q0158,Q0158_rRNA,58009,62447,21S_RRNA,1,rRNA,Mitochondrial 21S rRNA; intron encodes the I-SceI DNA endonuclease [Source:SGD;Acc:S000007288],1
YMR135C,YMR135C_mRNA,538689,540056,GID8,1,protein_coding,"Subunit of GID Complex, binds strongly to central component Vid30p; GID Complex is involved in proteasome-dependent catabolite inactivation of fructose-1,6-bisphosphatase; recruits Rmd5p, Fyv10 and Vid28p to GID Complex; contains LisH, CTLH, and CRA domains that mediate binding to Vid30p (LisH) and Rmd5p and Vid28p (CTLH and CRA); dosage-dependent regulator of START [Source:SGD;Acc:S000004742]",-1
YGR012W,YGR012W_mRNA,513159,514340,MCY1,1,protein_coding,Putative cysteine synthase; localized to the mitochondrial outer membrane [Source:SGD;Acc:S000003244],1
YNL244C,YNL244C_mRNA,187170,187496,SUI1,1,protein_coding,Translation initiation factor eIF1; component of a complex involved in recognition of the initiator codon; modulates translation accuracy at the initiation phase [Source:SGD;Acc:S000005188],-1
